year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2026,277,West Virginia,fbs,Big 12,,1.883714199066162,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,278,Fresno State,fbs,Pac-12,,1.0509794354438782,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,290,Georgia Southern,fbs,Sun Belt,East,1.0451141595840454,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,295,Old Dominion,fbs,Sun Belt,East,0.8810713291168213,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,309,Louisiana,fbs,Sun Belt,West,0.9931040406227112,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,324,Coastal Carolina,fbs,Sun Belt,East,1.0987051129341125,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,326,Texas State,fbs,Pac-12,,0.4798693358898163,"{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,328,Utah State,fbs,Pac-12,,0.392816424369812,"{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,333,Alabama,fbs,SEC,,1.9966325163841248,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,338,Kennesaw State,fbs,Conference USA,,0.9955492755398154,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,344,Mississippi State,fbs,SEC,,1.96136131323874,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,349,Army,fbs,American Athletic,,1.3585674464702606,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,356,Illinois,fbs,Big Ten,,0.9658338129520416,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
